title,price,sold,location,link
"[HRG 1PCS] Fried Cookie Ball CHOCO LAVA MINI China - Biskuit Cookie Coklat, Sakura, Cheese, Yoghurt & Matcha Lava 3Layers Cookie Ball - Cemilan China Siap Saji (±10gr)",3.500,655 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/-HRG-1PCS-Fried-Cookie-Ball-CHOCO-LAVA-MINI-China-Biskuit-Cookie-Coklat-Sakura-Cheese-Yoghurt-Matcha-Lava-3Layers-Cookie-Ball-Cemilan-China-Siap-Saji-(±10gr)-i.401975800.21792825330?sp_atk=3b729f96-c902-4891-a097-199e4279eff9&xptdk=3b729f96-c902-4891-a097-199e4279eff9
Wan Mei Durian Vacuum Freeze Dried 1 pcs/Snack Thailand,19.500,"7,3RB Terjual",KOTA JAKARTA BARAT,https://shopee.co.id/Wan-Mei-Durian-Vacuum-Freeze-Dried-1-pcs-Snack-Thailand-i.390628623.23527267503?sp_atk=90e705cb-6407-4f3c-94a4-70d0c873e7d8&xptdk=90e705cb-6407-4f3c-94a4-70d0c873e7d8
Snack impor paket request,100.000,6 Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Snack-impor-paket-request-i.960153484.25357876258?sp_atk=d53e86ca-5671-4a40-a9a6-0584a6dd818a&xptdk=d53e86ca-5671-4a40-a9a6-0584a6dd818a
VENUS CRACKZEL PRETZEL PIECES Turkiye Snack Import Halal Wasabi Garlic Bread Sriracha Jalapeno Cheddar Cheese Sweet Corn Honey Mustard Onion Hot Buffalo Wings,16.499,42 Terjual,KOTA BOGOR,https://shopee.co.id/VENUS-CRACKZEL-PRETZEL-PIECES-Turkiye-Snack-Import-Halal-Wasabi-Garlic-Bread-Sriracha-Jalapeno-Cheddar-Cheese-Sweet-Corn-Honey-Mustard-Onion-Hot-Buffalo-Wings-i.1035445272.24959402164?sp_atk=dbeb24fb-f0a1-4f56-967a-1bd77ec14131&xptdk=dbeb24fb-f0a1-4f56-967a-1bd77ec14131
Goldfish Baked Snack Crackers Cheddar 187gr - Cemilan Biskuit Import USA Snack Keju,76.500,4 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/Goldfish-Baked-Snack-Crackers-Cheddar-187gr-Cemilan-Biskuit-Import-USA-Snack-Keju-i.80124641.24954455197?sp_atk=207007fa-5255-4f38-9139-fd78186217f8&xptdk=207007fa-5255-4f38-9139-fd78186217f8
CemilanBintan ( Imelda chocolate) Praline Packigan 75gr,13.990,978 Terjual,KOTA TANJUNG PINANG,https://shopee.co.id/CemilanBintan-(-Imelda-chocolate)-Praline-Packigan-75gr-i.10134316.18764569672?sp_atk=6cd92fd4-2d09-4e1e-a17c-7e8d232acdac&xptdk=6cd92fd4-2d09-4e1e-a17c-7e8d232acdac
Goldfish Baked Snack Crackers Colors Cheddar 187gr - Snack Keju Cemilan Import USA,76.500,3 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/Goldfish-Baked-Snack-Crackers-Colors-Cheddar-187gr-Snack-Keju-Cemilan-Import-USA-i.80124641.24854449601?sp_atk=20c21dc1-80ab-4d74-acd0-e549f81a28eb&xptdk=20c21dc1-80ab-4d74-acd0-e549f81a28eb
Snack Import (jajanan 5kg),120.000,35 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/Snack-Import-(jajanan-5kg)-i.1059884119.20986725636?sp_atk=7811d20e-cc9f-4cad-8f9c-0681888f1394&xptdk=7811d20e-cc9f-4cad-8f9c-0681888f1394
Snack Import Spesial GA,130.000,428 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/Snack-Import-Spesial-GA-i.11568573.23479472531?sp_atk=a5e60b2f-eae3-4df0-b51e-5faeb9c1a7a4&xptdk=a5e60b2f-eae3-4df0-b51e-5faeb9c1a7a4
BIN BIN Rice Crackers ORIGINAL / SEAWEED / SNOW / SPICY / CORN CHEESE / Binbin,36.500,10RB+ Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/BIN-BIN-Rice-Crackers-ORIGINAL-SEAWEED-SNOW-SPICY-CORN-CHEESE-Binbin-i.31759764.6648604104?sp_atk=187ac979-772d-438a-8022-545bf3762690&xptdk=187ac979-772d-438a-8022-545bf3762690
snack import eceran,50.000,,KOTA CILEGON,https://shopee.co.id/snack-import-eceran-i.21739485.25912051258?sp_atk=1cee1a89-7eca-43d0-a4b0-ffe504e55f8c&xptdk=1cee1a89-7eca-43d0-a4b0-ffe504e55f8c
BAKLAVA KARAKOY IMPOR ORIGINAL TURKI FRESH STOK BARU by.Thaliebstore,245.000,152 Terjual,KAB. BOGOR,https://shopee.co.id/BAKLAVA-KARAKOY-IMPOR-ORIGINAL-TURKI-FRESH-STOK-BARU-by.Thaliebstore-i.202651805.14110517698?sp_atk=887e5ac2-0560-4bf8-aee8-b3771ab450c7&xptdk=887e5ac2-0560-4bf8-aee8-b3771ab450c7
TERMURAH Kinder Country Ecer Import Dubai (READY STOCK),18.603,16 Terjual,KAB. CIANJUR,https://shopee.co.id/TERMURAH-Kinder-Country-Ecer-Import-Dubai-(READY-STOCK)-i.287926763.18479692367?sp_atk=ab508ca2-019f-4232-8dd9-c704d2676726&xptdk=ab508ca2-019f-4232-8dd9-c704d2676726
Glico Cheeza Cheese Crackers Snack Jepang Import Keju,37.999,137 Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Glico-Cheeza-Cheese-Crackers-Snack-Jepang-Import-Keju-i.156266096.21791172794?sp_atk=af2ac66b-43b8-4a53-a9d0-d6cdee0183bc&xptdk=af2ac66b-43b8-4a53-a9d0-d6cdee0183bc
Bourbon Petit Cookies Biscuit / Potato Chips ALL VARIAN Biskuit Snack Jepang Import,14.500,333 Terjual,KAB. TANGERANG,https://shopee.co.id/Bourbon-Petit-Cookies-Biscuit-Potato-Chips-ALL-VARIAN-Biskuit-Snack-Jepang-Import-i.81532604.22858160172?sp_atk=b3af2a9d-5f6a-443f-828f-1f3bed275116&xptdk=b3af2a9d-5f6a-443f-828f-1f3bed275116
Chocolate Berly's Import Halal exp 11.2023  isi Kacang Almond Kismis Hazelnut Enak dan Lezat berkualitas Sultan Harga Termurah Kekinian COD Jajanan Malaysia  Terenak Kokoa Premium Luar Negri Assorted Dark Bittersweet Crunchy Green Tea Viral,165.000,327 Terjual,KAB. SAMBAS,https://shopee.co.id/Chocolate-Berly's-Import-Halal-exp-11.2023-isi-Kacang-Almond-Kismis-Hazelnut-Enak-dan-Lezat-berkualitas-Sultan-Harga-Termurah-Kekinian-COD-Jajanan-Malaysia-Terenak-Kokoa-Premium-Luar-Negri-Assorted-Dark-Bittersweet-Crunchy-Green-Tea-Viral-i.138898401.14570998828?sp_atk=2b60116d-ff2f-4012-9ab1-f3002d6c3548&xptdk=2b60116d-ff2f-4012-9ab1-f3002d6c3548
TERMURAH SEINDONESIA Kinder Schoko Bons Crispy Import Dubai isi 8,70.000,791 Terjual,KAB. CIANJUR,https://shopee.co.id/TERMURAH-SEINDONESIA-Kinder-Schoko-Bons-Crispy-Import-Dubai-isi-8-i.287926763.18218770894?sp_atk=de41e140-cf8d-4769-bc5f-13e3851be2b0&xptdk=de41e140-cf8d-4769-bc5f-13e3851be2b0
"Beryls Bar Chocolate 160g Almond milk, Almond dark,hazelnut tiramisu Premium Cokelat coklat import Malaysia Halal beryl's",46.000,137 Terjual,KOTA TANJUNG PINANG,https://shopee.co.id/Beryls-Bar-Chocolate-160g-Almond-milk-Almond-dark-hazelnut-tiramisu-Premium-Cokelat-coklat-import-Malaysia-Halal-beryl's-i.1774804.24652400594?sp_atk=8d97f045-bf7f-46c5-b678-c11152e2804d&xptdk=8d97f045-bf7f-46c5-b678-c11152e2804d
Bourbon Choco Digestive Biscuit / biskuit Jepang / cemilan impor / biscuit,29.000,380 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/Bourbon-Choco-Digestive-Biscuit-biskuit-Jepang-cemilan-impor-biscuit-i.326547911.17772658336?sp_atk=9750a47b-58ac-43ae-83ac-87804eb676c6&xptdk=9750a47b-58ac-43ae-83ac-87804eb676c6
My Bizcuit - Gift Pack 320gr / Belgium Choco / Melting Almond / Kukis Cokelat Leleh / Almond Lembut / Mybizcuit / Snack Import Malaysia,48.000,113 Terjual,KAB. TANGERANG,https://shopee.co.id/My-Bizcuit-Gift-Pack-320gr-Belgium-Choco-Melting-Almond-Kukis-Cokelat-Leleh-Almond-Lembut-Mybizcuit-Snack-Import-Malaysia-i.242576481.7725347566?sp_atk=5c6e1333-fcd7-427b-a65d-399774ce3971&xptdk=5c6e1333-fcd7-427b-a65d-399774ce3971
BOURBON Mochi Chocolate Truffe Japan Coklat Snack Import Pocky Kitkat,29.999,36 Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/BOURBON-Mochi-Chocolate-Truffe-Japan-Coklat-Snack-Import-Pocky-Kitkat-i.156266096.22949714016?sp_atk=ec780f8f-e71b-4e3b-92fa-235032b95edd&xptdk=ec780f8f-e71b-4e3b-92fa-235032b95edd
.Snack Import | Eceran aneka Snack import coklat bolu wafer biskuit import BPOM halal ( ds bgr ),14.000,470 Terjual,KOTA BOGOR,https://shopee.co.id/.Snack-Import-Eceran-aneka-Snack-import-coklat-bolu-wafer-biskuit-import-BPOM-halal-(-ds-bgr-)-i.10976441.18290681540?sp_atk=a9af563b-5f25-4c68-a695-b4beaa64f8b8&xptdk=a9af563b-5f25-4c68-a695-b4beaa64f8b8
SNACK PREMIUM IMPORT BY REQUEST,35.000,471 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/SNACK-PREMIUM-IMPORT-BY-REQUEST-i.132721250.17474449873?sp_atk=da0542c7-0c53-4ccc-a599-62be5d1bfd2a&xptdk=da0542c7-0c53-4ccc-a599-62be5d1bfd2a
Kinder Schoko Bons Crispy 98gr isi 8 pcs Import From Dubai,70.000,"1,1RB Terjual",KAB. CIANJUR,https://shopee.co.id/Kinder-Schoko-Bons-Crispy-98gr-isi-8-pcs-Import-From-Dubai-i.287926763.23344967283?sp_atk=12f1f306-f730-4eec-9083-d17e38ff7876&xptdk=12f1f306-f730-4eec-9083-d17e38ff7876
Snack Import Package ( READ DESCRIPTION ),112.000,218 Terjual,KOTA SURAKARTA (SOLO),https://shopee.co.id/Snack-Import-Package-(-READ-DESCRIPTION-)-i.266265699.19692710313?sp_atk=38cd0317-9713-403c-8223-4c336ca7d48e&xptdk=38cd0317-9713-403c-8223-4c336ca7d48e
.Coklat Import I 300 gr Beryl's Cokelat Malaysia Classic Tiramisu Almond Green tea Milk White Dark Choco ( ds bgr ),105.000,1 Terjual,KOTA BOGOR,https://shopee.co.id/.Coklat-Import-I-300-gr-Beryl's-Cokelat-Malaysia-Classic-Tiramisu-Almond-Green-tea-Milk-White-Dark-Choco-(-ds-bgr-)-i.10976441.23289151186?sp_atk=425d540a-3768-461b-916b-67a41bd55535&xptdk=425d540a-3768-461b-916b-67a41bd55535
1Pcs /(1 BIJI) SILVERQUEEN CHUNKY BAR 30GR CASHEW DAN ALMOND || COKLAT SILVERQUEEN,8.999,"9,3RB Terjual",KOTA BANDUNG,https://shopee.co.id/1Pcs-(1-BIJI)-SILVERQUEEN-CHUNKY-BAR-30GR-CASHEW-DAN-ALMOND-COKLAT-SILVERQUEEN-i.333513250.3862149384?sp_atk=8cb22797-19c3-4370-90e1-9cf653dd1efc&xptdk=8cb22797-19c3-4370-90e1-9cf653dd1efc
ALTARA - Coklat Evliya 2kg / FREE TORBACIK /FREE BIG /JIVAL/TRENT /JIVAL EXTRA /COCOSSTWIST /SULTAN,243.000,121 Terjual,KOTA SURABAYA,https://shopee.co.id/ALTARA-Coklat-Evliya-2kg-FREE-TORBACIK-FREE-BIG-JIVAL-TRENT-JIVAL-EXTRA-COCOSSTWIST-SULTAN-i.25562735.7788346362?sp_atk=38c2cc65-d283-492c-89b4-c05546fb986b&xptdk=38c2cc65-d283-492c-89b4-c05546fb986b
Beryl's Tiramisu Almond 65g Beryls Coklat Chocolate kemasan box import Malaysia halal,29.500,"1,4RB Terjual",KOTA TANJUNG PINANG,https://shopee.co.id/Beryl's-Tiramisu-Almond-65g-Beryls-Coklat-Chocolate-kemasan-box-import-Malaysia-halal-i.28382948.375489000?sp_atk=71c6f646-ef14-4353-8d93-3bd874b68f9f&xptdk=71c6f646-ef14-4353-8d93-3bd874b68f9f
Request Jajanan Snack Import - 200k,200.000,227 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/Request-Jajanan-Snack-Import-200k-i.15709132.18572193754?sp_atk=0eb54133-997e-4284-9903-3d63395ae0f9&xptdk=0eb54133-997e-4284-9903-3d63395ae0f9
My Bizcuit - Value Pack 280G / Peanut Crunchy / Golden Cheese Tart / Choco Peanut / Snack Import Malaysia,48.000,246 Terjual,KAB. TANGERANG,https://shopee.co.id/My-Bizcuit-Value-Pack-280G-Peanut-Crunchy-Golden-Cheese-Tart-Choco-Peanut-Snack-Import-Malaysia-i.242576481.5125078004?sp_atk=b09912f9-ac77-4767-9311-3e2291faef7c&xptdk=b09912f9-ac77-4767-9311-3e2291faef7c
Snack Import Premium,149.999,50 Terjual,KOTA SEMARANG,https://shopee.co.id/Snack-Import-Premium-i.256804154.22181876371?sp_atk=7f52c5df-3eaa-4c9c-a3cf-97324c98bdae&xptdk=7f52c5df-3eaa-4c9c-a3cf-97324c98bdae
"Storck knoppers crispy milk hazelnut , snack made in german, snack.import",13.500,136 Terjual,KOTA SURABAYA,https://shopee.co.id/Storck-knoppers-crispy-milk-hazelnut-snack-made-in-german-snack.import-i.85373688.5601174365?sp_atk=d078e8ae-64d7-444d-b289-4467a0eff110&xptdk=d078e8ae-64d7-444d-b289-4467a0eff110
Coklat Turkey Evliya Coklat Arab 250gr Coklat Arab Evliya Cemilan Import Khas Turkey,17.000,12 Terjual,KOTA SURABAYA,https://shopee.co.id/Coklat-Turkey-Evliya-Coklat-Arab-250gr-Coklat-Arab-Evliya-Cemilan-Import-Khas-Turkey-i.125368431.24955416417?sp_atk=22ab4aad-93f2-4699-9760-4c22a117e547&xptdk=22ab4aad-93f2-4699-9760-4c22a117e547
CemilanBintan ( Alessio Choco 250gr ) Tiramisu dan almond,44.620,729 Terjual,KOTA TANJUNG PINANG,https://shopee.co.id/CemilanBintan-(-Alessio-Choco-250gr-)-Tiramisu-dan-almond-i.10134316.23925738447?sp_atk=079d9c17-1b64-4c28-a575-d57cf9ac3860&xptdk=079d9c17-1b64-4c28-a575-d57cf9ac3860
[HALAL] ROYAL DE DOLTON 450 GRAM/COKELAT IMPOR ANEKA RASA/IMPORTED DARK CHOCOLATE VEGETARIAN/ALMOND/RAISIN/GREEN TEA MATCHA/KISMIS/BADAM/HAZELNUT,55.000,56 Terjual,KOTA MEDAN,https://shopee.co.id/-HALAL-ROYAL-DE-DOLTON-450-GRAM-COKELAT-IMPOR-ANEKA-RASA-IMPORTED-DARK-CHOCOLATE-VEGETARIAN-ALMOND-RAISIN-GREEN-TEA-MATCHA-KISMIS-BADAM-HAZELNUT-i.279856696.23727608515?sp_atk=2fe908ee-9c40-4987-9ab2-08a303587fdc&xptdk=2fe908ee-9c40-4987-9ab2-08a303587fdc
CemilanBintan ( CacaoRich Merlion Strawberry 62Gram box),18.130,586 Terjual,KOTA TANJUNG PINANG,https://shopee.co.id/CemilanBintan-(-CacaoRich-Merlion-Strawberry-62Gram-box)-i.10134316.17895126866?sp_atk=dc73f3ff-ada9-46bf-be21-0d60a1441527&xptdk=dc73f3ff-ada9-46bf-be21-0d60a1441527
Snack Import Premium,149.999,50 Terjual,KOTA SEMARANG,https://shopee.co.id/Snack-Import-Premium-i.256804154.22181876371?sp_atk=76550dc8-c9f9-4fb3-a201-f1b98d8f1080&xptdk=76550dc8-c9f9-4fb3-a201-f1b98d8f1080
[TERMURAH] TATAWA COOKIES CHIPS DELITE CHIPS PLUS BISKUIT IMPORT MALAYSIA HALAL,15.180,146 Terjual,KOTA MEDAN,https://shopee.co.id/-TERMURAH-TATAWA-COOKIES-CHIPS-DELITE-CHIPS-PLUS-BISKUIT-IMPORT-MALAYSIA-HALAL-i.18101647.23235115979?sp_atk=7cc6efe8-b2a6-45fb-8b4d-698c664ef3ce&xptdk=7cc6efe8-b2a6-45fb-8b4d-698c664ef3ce
Grona Crackers Sea Cruise With Cheese / biskuit impor / cemilan / biskuit,20.500,219 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/Grona-Crackers-Sea-Cruise-With-Cheese-biskuit-impor-cemilan-biskuit-i.326547911.14105271730?sp_atk=caef6665-17e0-4953-83b0-ea0c8e43276b&xptdk=caef6665-17e0-4953-83b0-ea0c8e43276b
NARAYA NARABALL 300GR IMPORT VARIAN COKLAT STRAWBERRY ORIGINAL,31.500,276 Terjual,KAB. GRESIK,https://shopee.co.id/NARAYA-NARABALL-300GR-IMPORT-VARIAN-COKLAT-STRAWBERRY-ORIGINAL-i.1086797284.22182253041?sp_atk=8b849b57-061f-4c66-86fc-6e56c8eabd94&xptdk=8b849b57-061f-4c66-86fc-6e56c8eabd94
