title,price,sold,location,link,category_link
TEH SINTREN 1PAK ISI 10 BUNGKUS @ 40 GRAM,33.998,8RB Terjual,KAB. SUKOHARJO,https://shopee.co.id/TEH-SINTREN-1PAK-ISI-10-BUNGKUS-40-GRAM-i.309314115.20593960384?sp_atk=e9a72b94-acb0-4e24-9365-193411cb7b50&xptdk=e9a72b94-acb0-4e24-9365-193411cb7b50,https://shopee.co.id/Minuman-cat.11043451.11043502
KORNETKU Kornet Sapi 200 g Bundling 2 pcs,40.000,10RB+ Terjual,KOTA BEKASI,https://shopee.co.id/KORNETKU-Kornet-Sapi-200-g-Bundling-2-pcs-i.262869574.3167951770?sp_atk=9d6c4976-43d7-4a1e-9920-3347ecd90e77&xptdk=9d6c4976-43d7-4a1e-9920-3347ecd90e77,https://shopee.co.id/Makanan-Kaleng-cat.11043451.11043557
Gehel Kripca 125gr  - Makanan Ringan,12.825,10RB+ Terjual,KAB. TASIKMALAYA,https://shopee.co.id/Gehel-Kripca-125gr-Makanan-Ringan-i.120552964.4266444150?sp_atk=a025f7ba-b975-40d9-ac5b-44f2bfacbef3&xptdk=a025f7ba-b975-40d9-ac5b-44f2bfacbef3,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453
McLewis Hot n Hot Chilli Sauce 1 kg,10.000,"2,6RB Terjual",KAB. BOGOR,https://shopee.co.id/McLewis-Hot-n-Hot-Chilli-Sauce-1-kg-i.176929340.22762123314?sp_atk=ce78dfd1-2b77-438e-a531-42a42b84800e&xptdk=ce78dfd1-2b77-438e-a531-42a42b84800e,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467
250gr - Usus Crispy Sultan Bandung,17.000,"8,2RB Terjual",KAB. BANDUNG,https://shopee.co.id/250gr-Usus-Crispy-Sultan-Bandung-i.57540496.10414996005?sp_atk=9ef1098d-3434-4b26-94b4-5af283c47c12&xptdk=9ef1098d-3434-4b26-94b4-5af283c47c12,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453
Basreng mentah rajangemil,12.000,10RB+ Terjual,KAB. BANDUNG,https://shopee.co.id/Basreng-mentah-rajangemil-i.230480826.25701597009?sp_atk=f922ffcc-7a29-4276-b79f-c6e1cdef74b6&xptdk=f922ffcc-7a29-4276-b79f-c6e1cdef74b6,https://shopee.co.id/Makanan-Minuman-cat.11043451
Mie Lidi Pedas Mi Biting Renyah,5.750,10RB+ Terjual,KAB. MOJOKERTO,https://shopee.co.id/Mie-Lidi-Pedas-Mi-Biting-Renyah-i.435814051.13344223786?sp_atk=c7ac0f77-dcc3-44e9-bc35-20101db5bc05&xptdk=c7ac0f77-dcc3-44e9-bc35-20101db5bc05,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453
Abon ayam karwati,17.500,10RB+ Terjual,KAB. CIANJUR,https://shopee.co.id/Abon-ayam-karwati-i.24584232.6122612846?sp_atk=12964b83-8927-481f-9fbf-7432d6a1f1e8&xptdk=12964b83-8927-481f-9fbf-7432d6a1f1e8,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453
Pronas Kornet Sapi 340 g dengan kemasan EOE,40.000,10RB+ Terjual,KOTA BEKASI,https://shopee.co.id/Pronas-Kornet-Sapi-340-g-dengan-kemasan-EOE-i.262869574.7834446736?sp_atk=3a7f9b77-c865-494a-bdcb-368e641e7783&xptdk=3a7f9b77-c865-494a-bdcb-368e641e7783,https://shopee.co.id/Makanan-Kaleng-cat.11043451.11043557
BUMBU BUNDA by Elia Kaldu MPASI Bayi Homemade /Kaldu Non MSG Kaldu Jamur Slow Cooker Food Powder 50g Kaldu Pawon ibun Kaldu Maseko Kaldu AIKO Kaldu Bumboo Kaldu Alsultan MPASI Penambah BB BOSTER kaldu hati ayam kampung,55.000,10RB+ Terjual,KOTA DEPOK,https://shopee.co.id/BUMBU-BUNDA-by-Elia-Kaldu-MPASI-Bayi-Homemade-Kaldu-Non-MSG-Kaldu-Jamur-Slow-Cooker-Food-Powder-50g-Kaldu-Pawon-ibun-Kaldu-Maseko-Kaldu-AIKO-Kaldu-Bumboo-Kaldu-Alsultan-MPASI-Penambah-BB-BOSTER-kaldu-hati-ayam-kampung-i.3343006.5990182967?sp_atk=c95f39ce-3a38-454a-918b-dcd2a8cba07e&xptdk=c95f39ce-3a38-454a-918b-dcd2a8cba07e,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564
